 ,Area,Mean,Min,Max,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
75,69,255,255,255,38.042,0.599,13.416,372,319,63.435,7.967,1.885,0.530,0.793
76,75,255,255,255,48.184,0.406,13.892,334,324,30.256,11.424,1.238,0.808,0.670
77,52,255,255,255,38.284,0.446,11.402,357,318,142.125,8.974,1.092,0.915,0.754
78,104,255,255,255,55.012,0.432,14.765,172,326,151.699,12.691,1.321,0.757,0.725
79,128,255,255,255,62.669,0.410,17.464,531,324,103.241,13.244,1.270,0.787,0.746
80,53,255,255,255,29.213,0.780,12.042,311,325,138.366,7.690,1.656,0.604,0.828
81,65,255,255,255,38.527,0.550,13.601,295,338,36.027,9.707,1.379,0.725,0.756
82,75,255,255,255,45.698,0.451,13.038,156,344,57.529,10.491,1.178,0.849,0.743
83,146,255,255,255,64.912,0.435,17.804,185,349,51.843,14.483,1.195,0.837,0.789
84,50,255,255,255,32.627,0.590,12.806,547,336,141.340,7.034,1.917,0.522,0.794
85,79,255,255,255,36.042,0.764,14.422,468,337,146.310,9.192,1.647,0.607,0.840
86,139,255,255,255,57.012,0.537,20.616,118,348,22.834,11.686,1.858,0.538,0.770
87,52,255,255,255,35.799,0.510,12.042,382,349,48.366,9.000,1.268,0.789,0.732
88,180,255,255,255,73.255,0.422,20.248,527,359,57.095,14.000,1.314,0.761,0.802
89,279,255,255,255,90.912,0.424,26.926,500,347,158.199,14.687,1.908,0.524,0.834
90,52,255,255,255,38.870,0.432,11.705,147,342,109.983,8.000,1.491,0.671,0.743
91,82,255,255,255,36.870,0.758,13.601,471,353,17.103,9.540,1.543,0.648,0.845
92,146,255,255,255,57.355,0.558,17.804,303,349,141.843,14.000,1.162,0.861,0.841
93,55,255,255,255,32.627,0.649,10.817,459,352,123.690,8.944,1.193,0.838,0.791
94,295,255,255,255,94.912,0.412,35.355,497,365,8.130,17.503,2.616,0.382,0.737
95,71,255,255,255,45.698,0.427,14.213,384,366,50.711,10.956,1.263,0.792,0.703
96,75,255,255,255,36.627,0.703,14.866,486,362,19.654,8.000,1.816,0.551,0.857
97,133,255,255,255,57.941,0.498,22.204,475,363,144.162,11.649,1.820,0.549,0.749
98,60,255,255,255,30.971,0.786,11.402,165,367,142.125,8.000,1.198,0.835,0.889
99,82,255,255,255,47.941,0.448,14.318,402,393,102.095,10.000,1.699,0.589,0.749
100,72,255,255,255,41.113,0.535,16.401,475,408,52.431,8.433,1.998,0.501,0.762
101,68,255,255,255,45.113,0.420,13.153,461,406,171.254,9.391,1.381,0.724,0.720
102,60,255,255,255,40.284,0.465,13.038,403,413,57.529,9.881,1.665,0.601,0.652
103,53,255,255,255,34.870,0.548,12.369,451,407,165.964,8.931,1.219,0.821,0.697
104,54,255,255,255,40.627,0.411,14.866,373,407,109.654,7.891,1.593,0.628,0.679
105,53,255,255,255,31.213,0.684,11.662,470,410,149.036,8.000,1.489,0.671,0.835
106,65,255,255,255,35.698,0.641,13.038,585,413,94.399,8.558,1.550,0.645,0.769
107,58,255,255,255,42.042,0.412,13.342,456,429,77.005,7.318,1.786,0.560,0.716
108,114,255,255,255,48.770,0.602,15.000,474,418,126.870,13.000,1.116,0.896,0.826
109,61,255,255,255,36.870,0.564,11.402,588,419,142.125,9.535,1.139,0.878,0.762
110,171,255,255,255,66.669,0.483,19.849,469,427,139.086,16.200,1.231,0.812,0.747
111,234,255,255,255,81.154,0.446,23.601,564,437,126.384,18.000,1.357,0.737,0.755
112,58,255,255,255,32.385,0.695,11.662,555,443,149.036,8.713,1.256,0.796,0.829
113,64,255,255,255,37.941,0.559,12.042,479,443,175.236,10.000,1.254,0.797,0.744
114,52,255,255,255,36.284,0.496,11.402,522,444,105.255,9.535,1.306,0.766,0.698
115,91,255,255,255,48.527,0.486,16.971,528,456,45.000,10.633,1.545,0.647,0.719
116,50,255,255,255,36.870,0.462,12.042,491,446,131.634,7.830,1.669,0.599,0.671
117,67,255,255,255,37.456,0.600,11.705,558,449,109.983,10.000,1.139,0.878,0.807
118,79,255,255,255,35.556,0.785,13.454,488,472,41.987,9.000,1.466,0.682,0.883
119,60,255,255,255,42.527,0.417,15.264,467,478,58.392,8.000,1.622,0.617,0.732
120,59,255,255,255,38.870,0.491,14.866,127,488,70.346,8.222,2.038,0.491,0.724
121,67,255,255,255,40.042,0.525,13.454,289,480,131.987,9.414,1.468,0.681,0.724
122,56,255,255,255,40.527,0.428,12.649,179,487,18.435,8.485,1.483,0.674,0.691
123,62,255,255,255,43.355,0.414,15.811,92,493,34.695,8.403,1.917,0.522,0.656
124,71,255,255,255,46.770,0.408,14.318,113,495,65.225,10.000,1.323,0.756,0.732
125,63,255,255,255,40.042,0.494,13.454,349,483,131.987,9.000,1.425,0.702,0.733
126,58,255,255,255,42.527,0.403,12.806,136,494,38.660,9.430,1.482,0.675,0.690
127,52,255,255,255,35.799,0.510,13.928,336,491,21.038,6.000,2.459,0.407,0.732
128,103,255,255,255,53.012,0.461,15.620,279,487,140.194,13.000,1.004,0.996,0.728
129,83,255,255,255,40.042,0.651,14.422,516,492,123.690,11.000,1.362,0.734,0.783
130,53,255,255,255,32.627,0.626,11.402,583,502,52.125,7.428,1.651,0.606,0.785
131,3616,255,255,255,315.865,0.455,87.000,534,569,43.603,64.000,1.210,0.826,0.912
132,56,255,255,255,32.385,0.671,13.038,222,503,122.471,7.566,1.727,0.579,0.812
133,56,255,255,255,37.456,0.502,15.524,492,507,104.931,6.905,2.351,0.425,0.727
134,131,255,255,255,53.941,0.566,20.518,72,526,43.025,12.548,1.961,0.510,0.773
135,58,255,255,255,41.113,0.431,13.038,474,515,147.529,9.000,1.596,0.627,0.707
136,52,255,255,255,38.870,0.432,11.662,417,522,30.964,8.000,1.441,0.694,0.743
137,70,255,255,255,37.456,0.627,12.649,502,532,71.565,9.707,1.440,0.694,0.753
138,82,255,255,255,43.113,0.554,15.811,79,540,34.695,8.232,2.124,0.471,0.785
139,70,255,255,255,44.870,0.437,13.892,380,534,120.256,10.607,1.326,0.754,0.729
140,53,255,255,255,37.456,0.475,13.928,115,555,68.962,7.000,1.901,0.526,0.726
